EmployeeID,Department,SystemUsageHours,ProductivityScore
1158,HR,42.06,5.85
3235,Operations,42.73,2.57
2686,Legal,41.29,8.08
1541,Sales,27.47,1.36
1881,Sales,41.26,2.31
3994,IT,8.4,7.13
4071,Engineering,0.82,5.05
3280,HR,25.68,6.32
2778,Operations,15.23,5.26
1811,IT,46.38,5.18
5853,Marketing,32.11,9.96
2774,IT,27.5,4.84
4349,IT,41.17,1.44
5865,HR,36.66,1.64
2734,Engineering,44.75,9.49
4533,Sales,42.85,4.13
3488,Legal,38.41,6.14
3343,HR,26.54,1.71
5152,Marketing,26.07,5.96
2490,Engineering,11.33,1.57
5796,Engineering,2.55,7.81
1266,HR,41.49,3.26
3859,Operations,41.78,9.67
5953,Legal,43.98,9.63
4986,Sales,18.73,6.61
4393,Legal,36.43,6.51
5564,Marketing,47.48,2.77
3347,Marketing,44.57,1.1
2060,Marketing,19.07,2.42
2912,Finance,42.33,8.41
3510,Sales,29.6,4.74
4716,Engineering,2.61,2.23
1434,Legal,46.25,4.87
1847,Marketing,49.82,3.59
5909,Finance,38.96,7.72
3736,Finance,43.69,8.06
4804,Sales,14.1,7.28
4208,Operations,24.09,6.98
1135,Engineering,36.81,8.32
2228,Sales,44.28,2.02
3388,Finance,21.79,4.41
3684,HR,24.11,2.73
4631,Sales,1.67,5.28
3171,Finance,30.5,5.54
4044,Legal,22.77,5.06
2498,Finance,24.37,8.82
2221,Legal,23.47,4.54
2550,HR,12.74,1.18
2529,Marketing,9.34,3.76
1301,IT,49.45,7.5
5678,Marketing,13.9,9.72
2748,HR,23.55,9.5
5213,Finance,4.72,3.31
1080,Legal,27.8,1.9
5090,Engineering,49.5,8.3
2443,Finance,36.19,6.9
3667,IT,36.61,6.71
2491,Sales,4.46,5.09
4164,Sales,25.2,1.7
5317,Operations,9,3.34
3861,Marketing,26.86,4.3
4535,Operations,45.26,8.79
5586,HR,38.4,8.25
4857,HR,2.1,1.81
2495,IT,25.08,3.41
4536,Marketing,20.19,8.69
4221,Operations,19.79,7.42
2521,Legal,23.27,1.5
4859,Legal,44.36,1.15
4595,Engineering,22.37,8.58
4094,Marketing,0.03,3.55
3380,Finance,21.41,7.25
3980,Legal,20.89,2.18
5252,HR,46.13,1.86
5581,IT,30.55,9.2
4005,Marketing,40.08,9.93
5969,IT,17.14,3.77
5761,HR,27.01,7.11
2084,Finance,21.99,3.71
1830,Finance,14.11,8.91
4027,Marketing,25.88,2.15
3182,Marketing,17.73,9.67
2719,Marketing,27.47,5
1321,Operations,4.01,8.7
3781,Sales,6.32,9.82
1546,HR,47.25,9.75
3793,Sales,1.8,2.91
2181,Legal,16.07,3.68
2546,Sales,28.8,9.95
5585,Operations,20.38,5.36
4555,Sales,47.52,4.08
4567,Engineering,7.77,9.49
3712,Legal,18.29,6.92
5340,Marketing,18.08,7.11
5196,Finance,22.22,8.26
5106,Finance,28.4,2.17
1199,HR,48.56,5.77
1333,IT,13.34,5.97
4637,Finance,3.63,9.31
1338,Operations,45.14,5.47
2406,Sales,12.91,9.06
4571,Marketing,29,1.07
2371,Finance,29.98,7.36
3458,HR,13.07,8.94
5228,Engineering,18.67,6.51
2993,Finance,4.82,7.69
1394,Engineering,38.53,1.51
3478,HR,28.75,8.12
5897,Sales,28.98,5.6
2709,HR,20.39,7.63
2975,Marketing,12.96,8.19
2280,IT,18.06,9.93
5012,Operations,30.81,6.39
5572,Finance,5.55,5.4
2916,Finance,36.8,6.1
2921,Legal,0.59,4.5
2205,Legal,7.3,7.08
5051,Engineering,31.43,4.67
2719,Sales,6.98,8.19
3110,Marketing,40.7,3.09
4981,Engineering,11.5,8.01
1931,Finance,31.35,3.44
4449,Engineering,29.38,3.68
3235,IT,47.31,8.27
4091,Finance,21.08,1.58
1109,HR,35.37,1.64
4207,HR,25.9,6.17
4897,Finance,47.82,2.47
1460,Operations,24.63,4.24
5052,Engineering,18.07,2.18
5490,Marketing,40.24,1.25
4048,IT,37.01,5.27
1125,IT,19.44,8.78
1370,IT,10.19,2.03
2311,Engineering,46.44,4.86
2407,Engineering,33.02,9.3
4416,Sales,15.78,1.54
3928,IT,26.54,4.79
1882,Marketing,31.67,5.52
3547,Marketing,4.81,5.99
4583,Engineering,39.97,5.89
1557,Operations,38.82,7.7
3128,Sales,12.84,8.54
5973,IT,1.63,1.91
3114,Operations,45.44,3.67
5306,IT,4.16,4.89
4339,Operations,0.38,8.86
1609,Operations,38.49,6.65
2439,Engineering,46.71,5.21
2132,IT,49.04,9.89
5783,HR,10.14,5.14
5012,Marketing,33.39,7.79
4369,Marketing,27.07,7.02
5962,HR,0.07,5.8
1182,Engineering,33.62,4.89
3922,Legal,37.92,6.24
5151,Marketing,36.41,6.16
2339,Marketing,48.01,3.78
1338,HR,24.82,3.08
2787,Operations,42.57,7.63
3662,Engineering,10.22,8.56
1327,Finance,20.96,1.12
3477,Sales,45.55,1.76
5445,IT,30.13,5.22
1655,Engineering,13.05,8.72
2448,Sales,27.48,3.87
4440,Marketing,46.32,6.7
1331,Engineering,15.44,1.22
4366,IT,8.62,5.72
5255,IT,49.28,5.3
3976,HR,20.73,8.55
1428,Operations,6.75,5.07
4996,Engineering,19.45,3.67
1997,Marketing,11.65,8.33
3821,Operations,18.39,6.17
4790,HR,38.05,6.44
5685,Legal,32.34,6.28
5718,IT,33.45,3.5
2286,Finance,39.86,7.73
3060,Sales,21.19,5.62
1115,IT,18.98,2.42
2896,Operations,46.24,3.46
4145,Operations,26.39,9.28
2665,Legal,38.4,7.99
3483,IT,11.88,9.49
5241,Engineering,22.45,6.72
1767,Finance,34.62,3.06
1453,Sales,22.2,1.13
5782,IT,16.86,8.72
2704,Finance,46.4,9.73
2948,Finance,29.7,2.35
1429,Engineering,6.55,7.47
4148,Marketing,15.24,8.57
5818,Legal,47.06,1.47
4709,Sales,13.2,6.96
4067,HR,40.59,6.99
5340,IT,35.38,9.82
5671,Sales,34.22,4.02
2028,Engineering,35,9.58
2506,IT,0.16,8.88
4836,Marketing,14.12,1.6
4910,Finance,38.05,1.47
2599,HR,31.39,4.11
4552,Finance,28.71,4.78
2821,Sales,24.45,1.41
1175,Finance,34.52,7.04
4935,Engineering,36.33,1.33
1250,Marketing,46.27,2.44
3714,Operations,41.58,2.08
3424,IT,37.24,5.08
1619,Sales,31.92,1.56
4297,Finance,10.57,5.51
3909,IT,7.89,7.41
1810,HR,44.48,1.15
3951,IT,17.48,8.9
4989,HR,26.74,3.64
3900,IT,41.17,7.09
1122,IT,31.23,1.89
3223,Sales,17.55,7.46
4703,IT,23.69,7.16
2881,Sales,23.97,4.51
3888,Operations,30.12,6.06
2798,Marketing,47.41,6.19
1939,Legal,9.45,9.41
3427,Legal,14.52,3.1
1949,IT,20.52,4.49
4773,Sales,25.26,2.2
1290,Legal,24.96,8.24
4518,Finance,46.56,6.61
5848,HR,14.38,9.95
5722,HR,20.42,3.09
3889,Engineering,2.66,6.45
1145,IT,44.35,4.73
4106,Operations,24.03,7.73
3743,Finance,3.62,3.53
3836,Operations,11.62,7.28
3392,Sales,22.46,2.72
1939,Engineering,46.15,1.75
5663,Finance,39.66,5.72
3483,Operations,17.67,1.28
3399,Marketing,5.72,6.64
3945,IT,43.42,7.18
2910,Finance,40.49,5.18
1549,Legal,14.02,2.63
3356,Sales,32.14,5.66
4495,Sales,31.52,5.51
5037,Sales,48.4,7
1747,Engineering,47.76,5.49
5029,HR,47.29,6.69
4571,Finance,38.04,6.01
1730,IT,6.88,9.24
4913,IT,37.56,2.67
4923,Legal,19.49,6.49
5117,Finance,15.49,2.14
1632,Marketing,28.26,1.31
2575,Operations,12.47,6
4617,Legal,31.98,5.93
5452,IT,46.61,3.19
3453,IT,13.48,3.4
4348,Finance,4.47,7.36
4370,Marketing,38.82,6.03
2331,Engineering,49.4,4.1
4239,Sales,33.18,5.4
3930,Operations,32.26,9.93
1088,Marketing,5.9,9.74
2405,Engineering,8.86,9.54
1497,Finance,38.93,5.4
3119,Legal,11.37,8.68
3556,Finance,41.79,5.03
5655,Legal,49.64,8.31
4316,IT,9.53,6.7
3343,HR,14.08,8.31
3247,Operations,42.33,2.58
5333,IT,21.01,9.17
2112,Legal,25.88,9.09
1565,IT,2.82,2.93
5991,HR,10.85,7.48
2862,IT,18.26,4.37
3607,Legal,2.16,4.34
1710,Engineering,14.77,7.49
1212,Operations,0.08,7.07
5945,IT,33.1,9.77
1383,Engineering,37.15,5.1
5028,Finance,1.33,6.3
5922,Engineering,46.6,4.53
4580,Operations,24.61,8.34
4749,Operations,2.99,8.16
2847,Engineering,15.78,5.91
5884,Marketing,42.44,9.91
3844,Sales,15.89,6.14
3660,Legal,6.94,3.89
2929,Operations,7.55,1.72
1766,Marketing,38.78,2.31
2379,Engineering,46.57,9.38
4943,Sales,40.79,7.1
4504,HR,27.62,6.16
5507,Legal,27.92,6.88
3279,Engineering,44.3,7.75
4276,Marketing,22.74,4.39
3427,HR,43.96,9.32
4339,Finance,1.25,6.36
2039,IT,4.13,2.48
5422,Finance,29.11,6.96
4216,Engineering,41.53,2.46
5753,Sales,10.25,5.96
4973,Engineering,29.51,8.18
3233,Marketing,0.49,7.67
3512,Sales,24.87,4.96
5682,Marketing,13.07,4.17
4470,Sales,2.91,8.35
2580,HR,31.96,8.35
4581,Finance,41.84,1.48
5769,Operations,8.28,3.97
5747,Marketing,22.7,6.67
5360,Marketing,19.54,5.78
4610,Sales,2.98,3.54
5891,Sales,5.85,5.1
5580,Operations,30.1,1.92
3278,IT,5.38,4.34
3876,Legal,11.77,4.66
4207,Engineering,40.77,6.48
1403,Marketing,39.8,3.96
5690,Sales,3.13,9.18
1801,IT,35.39,1.62
1325,Marketing,11.01,5.2
1279,Sales,48.85,3.29
4352,Engineering,17.94,9.27
2204,Operations,34.44,5.78
1617,IT,48.98,1.69
5546,Operations,20.12,3.87
1549,Finance,4.86,3.09
4729,Finance,36.84,3.37
1620,IT,32.64,7.82
1698,HR,18.14,3.94
1129,Marketing,3.06,3.15
2255,Engineering,20.83,3.2
5684,Marketing,32.95,6.62
2374,Finance,8.52,1.86
4556,Engineering,24.47,7.1
4248,IT,44.92,5.64
4729,IT,8.2,4.16
4874,Operations,12.78,5.61
3508,Finance,13.51,7.22
2907,HR,40.53,2.44
1487,HR,0.77,4.18
1253,Engineering,16.3,8.35
4014,IT,29.49,4.14
3292,Marketing,44.04,7.95
4682,Sales,2.43,9.71
2071,Marketing,11.73,2.53
2487,Marketing,33.09,9.36
2010,Finance,2.03,2.09
4559,Finance,27.84,1.26
3028,IT,2.33,9.41
2753,Sales,3.03,7.96
3573,Finance,32.59,1.61
1484,Legal,26.99,8.86
1231,Marketing,31.57,6.14
4179,Operations,27.33,7.08
4138,Finance,6.69,9.68
3591,Marketing,45.61,3.61
3142,Operations,17.96,9.6
3207,Marketing,7.91,5.26
2458,Operations,10.14,4.12
2206,Sales,11.56,2.27
4479,HR,7.07,9.84
3634,Sales,35.4,8.31
4654,Sales,25.54,4.04
5115,IT,32.03,5.21
2689,IT,46.69,5.56
5026,Operations,14.86,5.56
1465,HR,16.97,4.1
2593,HR,12.22,1.82
5346,IT,16.61,3.5
1952,Operations,7.6,7.01
3178,Finance,27.92,5.95
2698,HR,19.72,8.4
2836,Operations,48.51,8.26
3947,Marketing,26.19,9.66
2352,Sales,47.04,2.57
5707,Legal,24.99,2.87
5988,Engineering,47.68,8.36
5050,Operations,47.57,5.07
4694,Engineering,48.81,5.59
3393,IT,20.98,9.33
4772,Finance,46.93,9.11
3440,Sales,2,2.33
4958,Sales,0.79,2.87
3822,IT,46.69,2.18
3113,HR,47.68,6.59
3806,Marketing,26.81,2.04
5603,IT,45.23,2.97
5633,IT,35.93,3.99
5351,Marketing,3.91,4.19
4236,Sales,31.8,1.31
4625,Sales,3.95,2.63
5530,HR,24.06,8.17
3878,Sales,29.17,8.11
3504,Operations,22.59,6.76
4755,Operations,37.37,6.3
2528,IT,34.52,7.09
2317,Marketing,49.56,9.71
2975,Marketing,47.03,4.53
2032,Finance,6.17,9.93
3157,Engineering,20.64,6.45
4025,Finance,10.37,9.46
5124,Marketing,21.57,2.49
4068,IT,42.81,8.47
1775,Finance,16.47,9.66
3195,Legal,12.9,6.94
2099,Finance,10.81,3.09
5353,Finance,14.32,1.83
1228,Sales,44.92,4.43
2169,Sales,33.45,5.3
1529,HR,36.63,3.84
1082,Finance,12.05,3.81
4358,Legal,17.99,3.63
1076,Operations,7.77,5.55
2025,Operations,13.68,4.44
2995,Legal,41.85,1.83
1577,Finance,38.48,9.65
5436,Engineering,11.32,8.6
3715,Marketing,26.78,4.24
2438,HR,47.34,5.19
4299,Sales,11.49,9.12
1476,Engineering,35.28,8.32
5217,Finance,31.5,4.92
1195,Sales,2.38,2.3
5096,Engineering,29.92,9.29
2584,Marketing,8.45,9.11
2026,IT,38.08,2.15
3637,Finance,36.15,6.23
4494,Operations,36.67,9.98
4493,Sales,1.29,1.9
2955,Sales,30.64,1.98
1367,HR,33.28,3.55
3829,Operations,34.02,1.83
1202,Sales,28.44,6.99
4898,Operations,8.28,4.81
5156,Sales,29.95,5.51
4551,Finance,28.88,8.04
4953,HR,34.1,3.56
5143,Sales,8.62,1.57
1754,HR,47.31,3.32
3091,IT,39.58,2.33
3832,HR,29.4,7.68
5352,IT,13.26,4.88
1162,Marketing,13.66,9.12
1087,Finance,6.38,9.04
4182,Legal,35.86,7.29
1742,Finance,14.29,8.77
2469,IT,24.47,4.76
5773,Engineering,9.57,1.8
4747,Engineering,39.28,8.6
3817,Marketing,35.85,2.03
3149,HR,33.29,9.94
2250,IT,27.97,2.33
5618,Operations,7.67,9.74
5588,Legal,22.5,9.61
3293,IT,11.44,6.77
5484,Finance,44.77,1.84
2658,HR,49.46,2.49
4949,Operations,12.63,1.09
2384,Operations,36.99,8.55
1821,HR,40.31,2.95
1082,Legal,23.42,2.92
1722,Operations,20.26,2.59
3806,IT,22.83,6.51
2156,Legal,33.89,8.66
2997,HR,14.06,9.66
4453,Marketing,22.31,4.93
4206,HR,30.34,9.62
3774,HR,22.3,1.61
4068,Sales,22.5,3.73
4228,Sales,49.03,3.24
2614,Sales,12.53,4.94
1574,Marketing,1.02,2.16
4923,Finance,17.16,2.28
2853,Engineering,30.04,6.47
3795,Sales,7.23,1.94
5394,Marketing,18.85,7.52
4396,Marketing,44.64,8.91
2066,IT,9.51,7.24
3331,IT,4.49,1.64
3316,Legal,43.81,9.89
4687,Legal,38.81,8.72
1668,Engineering,48.33,3.6
2766,Marketing,34.33,9.23
5638,Operations,24.84,3.44
1920,Sales,31.84,9.77
2271,HR,38.7,9.42
3923,Finance,20.89,3.98
1441,HR,3.94,8.66
1038,Finance,0.96,6.57
1751,Sales,4.58,8.85
1525,HR,49.6,4.72
4252,HR,11.09,6.42
4733,IT,29.7,6.12
4233,IT,20.27,4.46
4167,Engineering,8.63,7.34
1884,Legal,6.32,1.14
3800,Legal,34.86,2.14
4665,Marketing,2,6.5
4934,Finance,12.51,9.39
2740,HR,21.99,4.62
3360,Operations,47.06,1.16
2070,HR,26.32,9.35
4968,Legal,44.81,5.36
2284,Marketing,7.22,7.27
3145,Operations,33.61,6.82
3039,Engineering,30.83,4.35
1048,Sales,11.66,8.82
5800,Finance,35.09,1.51
1250,Legal,2.79,8.4
2792,Engineering,44.32,9.5
4716,HR,16.51,7.96
3615,Operations,28.69,6.64
5696,HR,42.92,9.83
2329,Marketing,12.76,8.5
5924,Sales,21.94,7.03
3524,HR,38.88,6.28
4474,Marketing,32.44,6.56
4684,Operations,26.69,2.03
4031,IT,8.12,7.65
1061,Sales,11.68,7.86
1695,IT,43.95,4.72
4658,Legal,30.87,1.71
5403,Sales,49.91,6.79
2320,Legal,32.72,6.52
5746,IT,30.12,9.52
1535,Operations,20.82,2.62
1783,Finance,47.47,4.57
3495,Engineering,43.34,7.03
2862,Marketing,34.95,6.85
3046,Legal,21.08,8.69
1447,Engineering,27.55,5.87
5964,IT,12.55,2.42
3962,Legal,5.5,8.77
2456,Marketing,13.27,4.17
1446,Marketing,25.99,1.19
4404,Engineering,5.08,1.11
5894,Operations,28.9,1.88
3010,IT,13.58,6.97
4592,Sales,11.73,2.3
3241,HR,46.66,2.89
4024,Legal,14.62,3.47
1592,IT,25.68,4.49
3026,IT,13.94,9.58
2611,Engineering,47.16,3.67
3538,Operations,32.82,4.56
3802,Operations,7,6.42
5021,Finance,42.21,7.64
5671,Sales,28.24,9.79
3889,Legal,42.26,8.93
5874,HR,49.91,4.13
4039,IT,24.27,2.94
4573,HR,31.85,9.82
1022,Finance,31.82,2.76
4113,Legal,42.83,9.07
5163,Marketing,32.27,2.62
3960,Operations,48.64,3.44
1434,Legal,36.71,9.8
3342,Engineering,14.82,1.19
4146,Marketing,40.67,7.72
5160,HR,12.94,1.03
4448,Finance,22.42,1.76
5417,Sales,0.23,9.69
2693,Sales,38.46,7.26
5805,Sales,40.14,2.24
4542,Legal,28.95,8.32
3153,Sales,24.81,7.38
5443,Operations,11.07,5.49
2683,Marketing,25.24,4.26
2146,Engineering,45.35,7.45
1540,Marketing,30.31,1.94
2224,Finance,1.73,3.84
3951,Sales,39.19,3.74
1465,Legal,45,7.81
1994,Marketing,46.23,6.66
3013,Legal,40.34,2.29
1572,Operations,22.3,8.02
4902,Finance,18,2.32
1114,Engineering,4.24,8.7
5136,Finance,28.99,3.22
4692,Legal,26.94,2.63
2985,Finance,30.57,9.8
2644,Legal,37.65,3.65
5808,HR,43.41,1.34
3534,IT,28.32,1.85
2001,Marketing,9.65,7.91
5222,Sales,20.14,7.62
1176,Sales,16.98,1.37
2195,HR,48.35,8.47
1535,IT,8.77,5.74
1171,Legal,3.65,7.53
3639,Sales,18.7,9.53
2106,Legal,31.43,8.55
2348,Finance,21.71,5.09
5998,HR,19.91,3.28
4783,Finance,16.48,4.3
4931,Engineering,14.04,7.51
5566,HR,44.34,3.62
3562,Marketing,11.64,3.24
2669,Marketing,41.01,6.69
2312,Legal,25.91,3.36
5744,HR,29.42,8.9
5664,Legal,4.7,2.95
1697,Operations,49.19,7.17
3840,Sales,8.86,1.58
4665,Finance,19.54,6.45
4006,HR,6.58,3.44
2307,Operations,45.12,6.96
5548,Operations,13.42,8.39
4411,IT,10.71,7.72
2827,Legal,43.17,1.48
3088,Legal,45.03,1.37
2753,Marketing,49.81,1.29
5464,Finance,47.31,4.64
1793,Marketing,41.16,6.39
4815,HR,40.45,2.83
5898,Engineering,46.84,7.27
3643,Legal,18.62,7.57
5989,Sales,16.8,3.6
4218,Operations,30.3,3.8
1942,Engineering,29.37,4.89
1743,Sales,39.54,5.51
2773,Marketing,30.56,3.31
2833,Finance,26.53,9.89
2871,IT,41.04,1.58
3141,Operations,2.94,5.8
5161,Marketing,41.02,1.91
4329,Sales,44.44,5.8
2107,HR,40.4,7.84
3474,Engineering,7.97,2.26
2765,Marketing,35.9,9.93
4935,Sales,7.11,4.93
1455,HR,27.65,1.72
1594,Legal,2.44,1.82
4674,Engineering,31.82,8.17
5858,IT,41.13,2.64
4443,Sales,44.13,2.02
5567,Sales,47.92,4.19
1369,Finance,9.46,8.53
3301,Finance,47.35,2.83
4485,Sales,16.71,9.63
4580,HR,21.64,8.03
3060,Operations,23.41,9.56
5842,Engineering,20.92,7.86
5673,Finance,48.38,4.28
5662,HR,20.87,8.34
5243,HR,43.61,4.62
1724,Operations,4.49,6.19
4607,Operations,9.79,6.09
3962,Legal,4.62,6.12
2449,HR,29.46,7.95
5393,Finance,39.12,3.37
3761,HR,30.66,6.28
4847,Engineering,28.66,7.8
2360,Marketing,25.35,1.01
2510,Operations,18.8,9.44
1746,Legal,27.72,5.76
5549,Legal,12.03,7.34
1600,Legal,45.02,5.2
2473,Finance,6.7,4.53
3782,Finance,7.21,6.91
2125,Marketing,8.51,3.53
3721,Engineering,8.44,1.43
3045,IT,44.49,4.09
1913,HR,32.81,2.46
4944,IT,48.56,4.26
3952,Marketing,4.39,4.8
1017,Finance,45.38,1.95
2033,Marketing,29.69,6.36
5368,Engineering,16.15,7.1
4469,Finance,49.42,1.22
5171,Engineering,30.05,8.16
1781,Engineering,16.67,4.2
5376,Legal,24.8,1.25
5782,Operations,14.08,6.9
1336,Finance,24.5,2.11
3733,IT,21.14,5.88
3423,Legal,31.44,4.65
3983,Engineering,33.31,3.09
1642,IT,7.98,3.43
1904,Engineering,23.09,3.16
3795,Engineering,30.54,6.45
1541,Engineering,23.17,5.13
4797,Engineering,38.57,7.61
1589,Engineering,36.07,7.52
5141,HR,25.14,6.65
2998,IT,11.22,1.72
5768,Legal,2.24,4.82
4945,Sales,18.47,6.18
5025,Engineering,11.02,5.07
2012,IT,17.54,7.07
1666,Finance,12.32,3.02
1502,Legal,21.52,9.01
3554,Marketing,23.45,3.74
1185,Finance,29.5,8.91
2760,Sales,44.05,4.87
1411,Operations,41.74,7.53
1550,HR,13.26,6.7
3601,IT,22.9,7.64
2753,HR,24.52,1.46
1868,Sales,16.08,6.12
1361,Legal,5.82,9.59
3774,Marketing,2.78,9
1831,Engineering,1.02,7.81
2592,Sales,4.46,9.16
1671,Operations,17.84,7.33
5554,Marketing,25.71,3.84
5418,Marketing,4.4,3.42
5525,IT,14.42,7.74
2780,Engineering,47.32,3.02
2678,Operations,15.37,3.1
4929,HR,27.94,3.73
1667,Finance,29.88,5.98
3076,Legal,48.05,7.01
2715,Sales,0.18,1.68
4539,Sales,30.05,3.97
1326,Sales,7.6,9.52
4525,Operations,10.84,6.82
2207,Legal,40.51,5.45
5052,Engineering,21.18,1.53
2134,IT,21.45,3.3
1466,Sales,27.31,3.34
2389,Engineering,49.9,7.84
5065,Legal,42.78,3.83
2419,HR,35.71,5.79
4001,Marketing,10.12,5.34
4230,Finance,39.92,7.33
2057,Sales,32.85,2.91
3358,Finance,24.22,3.84
5334,HR,0.25,1.12
4071,IT,49.53,5.42
4831,Marketing,41.25,8.37
4249,HR,46.41,9.09
1310,Legal,31.93,4.9
3935,HR,29.47,9.07
5425,Finance,49.47,7.26
2139,Operations,10.95,6.17
2664,Operations,45.97,6.15
2460,Finance,32.68,3.84
3033,IT,42.58,7.09
5733,Sales,40.48,4.29
5763,HR,49.59,2.95
2728,HR,27.68,5.48
4280,Legal,39.99,7.54
2573,Marketing,1.37,8.85
1599,Engineering,15.38,4.35
1222,IT,43.27,4.48
4586,Engineering,2.53,1.64
1490,Operations,24.43,5.75
5293,Finance,24.24,1.49
5508,Legal,27.29,8.97
1396,Engineering,2.08,1.06
1877,Legal,48.18,6.49
5542,HR,26.26,7.98
2393,Finance,45.51,2.33
2408,IT,41.58,2.88
1539,Marketing,13.64,6.28
2592,IT,40.17,5.32
1192,IT,35.47,4.01
2616,Engineering,48.05,9.62
1769,Marketing,33.21,3.36
4308,Finance,49.39,3.83
2844,Legal,2.93,8.19
5365,Sales,39.17,2.01
5509,Finance,44.53,1.23
5718,Legal,25.61,2.44
1253,Sales,32.48,9.61
1198,Legal,45.05,1.5
2727,IT,29.37,6.35
5792,Sales,22.39,7.23
5519,Operations,1.09,7.09
3359,HR,25.39,3.8
2088,Operations,24.2,5.31
2534,Finance,47.47,1.46
3451,HR,21.2,9.96
1711,Sales,30,5.22
5540,Sales,22.24,1.15
3492,IT,3.09,5.1
5945,IT,24.09,1.98
2112,Operations,47.78,4.61
5332,IT,14.12,6.06
1409,Engineering,33.1,3.8
2586,Operations,23.07,2.11
1142,Sales,16.52,7.42
3386,Finance,33.39,9.53
3964,Engineering,4.5,5.99
5401,IT,28.56,8.25
4917,IT,17.86,2.53
1439,Engineering,3.73,7.88
3928,HR,41.33,1.05
2944,HR,38.48,9.38
2587,Operations,39.86,3.69
4559,Marketing,3.74,6.27
2455,Legal,14.78,6.96
4401,Finance,25.21,7.96
4626,Legal,47.11,9.76
2131,Sales,31.51,9.56
3585,Marketing,20.29,6.98
2392,IT,34.63,9.33
3016,IT,7.65,1.05
5194,Sales,32.64,1.94
4263,IT,43.75,9.45
3141,HR,43.12,3.01
5012,IT,47.87,6.26
4783,Marketing,7.6,7.9
1327,Finance,42.79,9.43
5250,Marketing,28.4,5.3
5411,Legal,0.6,7.36
2585,Engineering,36.17,4.76
3792,Sales,23.95,3.19
4943,Marketing,8.29,5.65
3442,IT,19.97,6.87
1435,Sales,21.61,3.8
1884,Legal,41.1,9.54
3756,Operations,41.31,6.83
1656,Engineering,42.37,8.79
1466,Legal,38.16,3.56
3882,Operations,37.33,2.81
2739,HR,34.82,2.71
3625,Engineering,34.45,7.91
1419,Operations,14.19,6.25
2063,HR,32.52,1.13
5680,Operations,8.1,4.15
5762,Finance,15.07,9.45
2739,Marketing,23.38,6.46
5511,Finance,49.98,8.81
3402,Sales,37.44,1.36
4624,IT,38.41,4.49
1016,Sales,9.84,6.62
1137,Engineering,32.67,2.61
1370,IT,13.83,1.94
4209,Legal,12.31,9.32
3595,Operations,23.07,8.25
3744,Sales,35.59,1.98
5717,Engineering,6.57,1.5
1998,Marketing,32.41,1.97
1412,Finance,1.1,4.17
2749,HR,44.81,7.03
4512,Marketing,19.26,4.71
4928,HR,1.01,1.26
5640,Finance,40.11,1.19
2393,Legal,12.76,2.84
5321,Finance,10.37,2.69
2123,Legal,12.85,1.27
4754,HR,1.91,2.05
1196,Finance,49.36,4.14
2483,HR,46.55,1.3
2779,Finance,34.85,8.86
4111,Legal,38.73,5.01
5222,HR,11.01,8.93
2386,HR,43.16,3.04
4239,Sales,39,8.72
2204,IT,20.78,2.55
2280,Finance,5.22,5.36
2571,Sales,49.72,4.11
4592,Sales,16.52,6.6
1587,Engineering,31.92,9.03
1603,IT,32.34,9.04
3602,Sales,44.12,9.07
2974,Marketing,33.79,5.67
3359,Legal,22.66,5.21
2122,Operations,13.28,3.89
2581,Finance,24.91,2.33
1097,Engineering,34.03,4.11
3098,IT,25.98,2.24
2984,IT,46.11,8.5
5725,Marketing,26.43,7.54
5735,Operations,25.29,7.32
3688,Sales,29.42,8.4
3360,Operations,35.8,2
1171,Sales,19.75,1.83
4515,Sales,43.85,8.94
1433,Engineering,40.95,6.09
5855,Operations,20.28,6.78
4125,Engineering,6.96,9.69
3457,Sales,46.13,7.47
4623,IT,3.55,3
4713,Marketing,12.81,4.84
1659,Operations,7.12,8.45
3274,Engineering,45.25,2.72
5093,Legal,35.5,9.97
3401,Sales,43.07,4.69
1466,Sales,11.35,7.29
5025,IT,39.55,6.79
2163,Legal,24.42,6.49
3585,Engineering,43.19,7.97
4290,HR,17.22,1.07
3633,HR,35.07,3.48
5532,HR,15.06,2.72
1057,HR,4.72,3.71
3772,IT,33.44,8.98
2280,Marketing,14.31,9.08
3613,Engineering,1.05,3.43
1140,Finance,27.67,7.39
4837,HR,46.77,7.8
2514,Operations,4.14,8.69
4821,HR,8.1,3.28
1209,Engineering,46.49,8.07
3656,Operations,38.11,9.1
1348,Engineering,31.69,3.31
2398,Engineering,41.47,4.5
4877,Operations,30.5,2.03
4637,Finance,6.02,7.39
2355,HR,24.82,9.6
5721,IT,28.44,5.83
4240,Operations,43.99,9.69
2626,Operations,25.4,6.23
3746,HR,25.41,6.58
3175,IT,27.74,6.28
4002,IT,5.43,7.13
3888,Sales,44.02,5.62
2317,HR,21.21,6.12
1141,Sales,40.71,3.9
3209,HR,27.58,4.37
3174,Finance,34.82,9.89
1894,Operations,14.21,6.6
3803,Finance,35.4,1.16
5391,IT,4.28,6.26
2013,Legal,10.17,4.28
2823,Operations,40.42,7.11
2704,IT,32.84,2.21
4577,Sales,9.38,5.37
3075,Sales,20.51,1.98
5917,IT,35.15,9.2
3777,IT,31.28,8.05
1110,Finance,16.92,5.87
2466,Sales,45.79,9.96
2205,Operations,32.58,6.72
5155,Finance,2.33,2.5
2615,Engineering,24.03,6.64
3387,HR,27.26,7.65
